
 RUN  v3.2.7 D:/ds

 ✓ |@ds/brain| src/deepseek.test.ts > parseSseLine > ends the stream on the [DONE] sentinel 1ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — the happy path > on() returns an unsubscribe function 16ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — the happy path > remembers a turnShown that arrives before the turn settles 3ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — turn commit and interruption > does not append the user row before the window is read 11ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — turn commit and interruption > merges a send that arrives while the first turn is still thinking 3ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — turn commit and interruption > keeps only the acknowledged sentence when a new send interrupts speaking 29ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — turn commit and interruption > cancel() commits the user row and appends nothing the user never saw 3ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — streaming lint (R4) > regenerates exactly once when the first sentence trips assistant-leak 2ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — streaming lint (R4) > places the lint nudge only in the last user message of the second request 10ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — streaming lint (R4) > calls deps.state exactly once per turn even when it regenerates 2ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — streaming lint (R4) > strips a later assistant-leak sentence without a second request 13ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — streaming lint (R4) > never emits a final sentence that trips the tail lint 3ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — streaming lint (R4) > regenerates a one-sentence reply that trips the tail lint instead of going silent 14ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — streaming lint (R4) > strips a strip-severity tail failure once sentences are already painted 3ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — streaming lint (R4) > still emits turnDone when every sentence is stripped 1ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — streaming lint (R4) > emits a would-be-regenerated sentence verbatim when lint is disabled 10ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — failure paths and bookkeeping > emits error and no turnDone when the client fails 1ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — failure paths and bookkeeping > re-requests once on an empty completion and then speaks the canned line 14ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — failure paths and bookkeeping > trims the window before assembling and re-reads it 8ms
 ✓ |@ds/brain| src/turn.test.ts > TurnRunner — failure paths and bookkeeping > records the sensitive flag, the usage and a null error code on a clean turn 6ms

 Test Files  2 passed (2)
      Tests  54 passed | 2 skipped (56)
   Start at  16:52:28
   Duration  712ms (transform 109ms, setup 0ms, collect 242ms, tests 257ms, environment 0ms, prepare 241ms)

